"filename", "language", "JavaScript", "Batch", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\app.js", "JavaScript", 79, 0, 0, 0, 0, 56, 35, 170
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\centralAuth.js", "JavaScript", 61, 0, 0, 0, 0, 35, 3, 99
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\googlelinks.js", "JavaScript", 229, 0, 0, 0, 0, 50, 22, 301
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\groupfunctions.js", "JavaScript", 638, 0, 0, 0, 0, 154, 36, 828
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\package-lock.json", "JSON", 0, 0, 30133, 0, 0, 0, 1, 30134
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\package.json", "JSON", 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\public\index.html", "HTML", 0, 0, 0, 0, 105, 0, 7, 112
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\readme.md", "Markdown", 0, 0, 0, 90, 0, 0, 28, 118
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\registration.js", "JavaScript", 114, 0, 0, 0, 0, 54, 9, 177
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\run.bat", "Batch", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\scanfile.js", "JavaScript", 42, 0, 0, 0, 0, 26, 5, 73
"c:\Users\adikk\Documents\GitHub\csci3100_project\tokaho\zoomlink.js", "JavaScript", 104, 0, 0, 0, 0, 19, 10, 133
"Total", "-", 1278, 3, 30167, 90, 105, 394, 158, 32195
